RANK,NAME,TICKER,INDUSTRIES,Country,EMPLOYEES,Glassdoor Rating,City
1,Samsung Electronics,005930.KS,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",South Kore,"266,673",3.8,Suwon
2,Microsoft,MSFT,"IT, Internet, Software & Services",United States,"221,000",4.4,Redmond
3,IBM,IBM,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",United States,"250,000",4.2,Armonk
4,Alphabet,GOOG,"IT, Internet, Software & Services",United States,"156,500",4.5,Mountain View
5,Apple,AAPL,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",United States,"154,000",4.1,Cupertino
6,Delta Air Lines,DAL,Transportation and Logistics,United States,"80,000",4.2,Atlanta
7,Costco Wholesale,COST,Retail and Wholesale,United States,"288,000",4,Issaquah
8,Adobe,ADBE,"IT, Internet, Software & Services",United States,"25,988",4.4,San Jose
9,Southwest Airlines,LUV,Transportation and Logistics,United States,"55,093",4.4,Dallas
10,Dell Technologies,DELL,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",United States,"133,000",4.3,Round Rock
11,Lockheed Martin,LMT,Aerospace & Defense,United States,"114,000",4.1,Bethesda
12,Cisco Systems,CSCO,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",United States,"79,500",4.3,San Jose
13,BMW Group,BMW.DE,Automotive (Automotive and Suppliers),Germany,"118,909",4.2,Munich
14,Amazon,AMZN,"IT, Internet, Software & Services",United States,"1,608,000",3.8,Seattle
15,Decathlon,none,Retail and Wholesale,France,"100,000",4,Villeneuve-d'Ascq
16,Adidas,ADS.DE,"Clothing, Shoes, Sports Equipment",Germany,"61,401",3.9,Herzogenaurach
17,AIRBUS,AIR.PA,Aerospace & Defense,Netherlands,"125,000",4,Toulouse
18,Ferrari,RACE,Automotive (Automotive and Suppliers),Italy,"4,556",3.8,Maranello
19,Fraunhofer Society,none,Healthcare & Social,Germany,"30,028",4.1,Munich
20,Reliance Industries,RELIANCE.NS,Conglomerate,India,"230,000",3.9,Mumbai
21,Rolex,none,"Clothing, Shoes, Sports Equipment",Switzerland,"14,000",3.9,Geneva
22,Dassault Group,DSY.PA,Aerospace & Defense,France,"12,371",4,Vlizy-Villacoublay
23,Huawei,none,"Telecommunications Services, Cable Supplier",China,"196,000",3.8,Shenzhen
24,Bosch,none,Automotive (Automotive and Suppliers),Germany,"402,600",3.8,Grasbrunn
25,Mercedes-Benz Group,MBG.DE,Automotive (Automotive and Suppliers),Germany,"172,425",3.9,Stuttgart
26,Rossmann,none,Retail and Wholesale,Germany,"56,500",4,Burgwedel
27,Intuit,INTU,"IT, Internet, Software & Services",United States,"14,200",4.5,Mountain View
28,Safran,SAF.PA,Aerospace & Defense,France,"76,800",3.8,Paris
29,Pfizer,PFE,Drugs & Biotechnology,United States,"79,000",4.1,New York
30,JD.com,9618.HK,Retail and Wholesale,China,"298,717",3.7,Beijing
31,IKEA,none,Retail and Wholesale,Netherlands,"208,000",3.9,Hofheim am Taunus
32,Coca-Cola,KO,"Food, Soft Beverages, Alcohol & Tobacco",United States,"79,000",4.1,Atlanta
33,Armani Group,none,"Clothing, Shoes, Sports Equipment",Italy,"8,000",3.7,Milan
